,primary_gene_symbol,alias_symbol,HGNC_ID,ENSG_ID,NCBI_ID
11175,CBX1,M31,{'HGNC:1551'},{'ENSG00000108468'},{'GENE ID:10951'}
11176,CBX1,MOD1,{'HGNC:1551'},{'ENSG00000108468'},{'GENE ID:10951'}
11177,CBX1,p25beta,{'HGNC:1551'},{'ENSG00000108468'},{'GENE ID:10951'}
11178,CBX1P1,,{'HGNC:38655'},{'ENSG00000230823'},{'GENE ID:645251'}
11179,CBX1P2,,{'HGNC:38656'},{'ENSG00000214322'},{'GENE ID:100147811'}
11180,CBX1P3,,{'HGNC:38657'},{'ENSG00000237379'},{'GENE ID:100128723'}
11181,CBX1P4,,{'HGNC:38658'},{'ENSG00000214321'},{'GENE ID:100130461'}
11182,CBX1P5,CBX9,{'HGNC:21006'},{'ENSG00000231516'},{'GENE ID:100133259'}
11183,CBX1P5,,{'HGNC:21006'},{'ENSG00000231516'},{'GENE ID:100133259'}
11184,CBX2,CDCA6,{'HGNC:1552'},{'ENSG00000173894'},{'GENE ID:84733'}
11185,CBX2,M33,{'HGNC:1552'},{'ENSG00000173894'},{'GENE ID:84733'}
11186,CBX2,MGC10561,{'HGNC:1552'},{'ENSG00000173894'},{'GENE ID:84733'}
11187,CBX2,SRXY5,{'HGNC:1552'},{'ENSG00000173894'},{'GENE ID:84733'}
11188,CBX3,HECH,{'HGNC:1553'},{'ENSG00000122565'},{'GENE ID:11335'}
11189,CBX3,HP1-GAMMA,{'HGNC:1553'},{'ENSG00000122565'},{'GENE ID:11335'}
11190,CBX3,HP1GAMMA,{'HGNC:1553'},{'ENSG00000122565'},{'GENE ID:11335'}
11191,CBX3,HP1HS-GAMMA,{'HGNC:1553'},{'ENSG00000122565'},{'GENE ID:11335'}
11192,CBX3,HP1Hs-gamma,{'HGNC:1553'},{'ENSG00000122565'},{'GENE ID:11335'}
11193,CBX3,HP1gamma,{'HGNC:1553'},{'ENSG00000122565'},{'GENE ID:11335'}
11194,CBX3P1,,{'HGNC:33950'},{'ENSG00000177447'},{'GENE ID:159770'}
11195,CBX3P10,,{'HGNC:56409'},{'ENSG00000234073'},{'GENE ID:107986032'}
11196,CBX3P2,,{'HGNC:42874'},"{'ENSG00000266405', 'ENSG00000293256'}",{'GENE ID:645158'}
11197,CBX3P3,,{'HGNC:42875'},{'ENSG00000250045'},{'GENE ID:100421861'}
11198,CBX3P4,,{'HGNC:42876'},{'ENSG00000256030'},{'GENE ID:100873792'}
11199,CBX3P5,,{'HGNC:42877'},{'ENSG00000257666'},{'GENE ID:100421943'}
11200,CBX3P6,,{'HGNC:42878'},{'ENSG00000228837'},{'GENE ID:642721'}
11201,CBX3P7,,{'HGNC:42879'},{'ENSG00000197692'},{'GENE ID:100421975'}
11202,CBX3P8,,{'HGNC:42880'},{'ENSG00000254496'},{'GENE ID:100286965'}
11203,CBX3P9,,{'HGNC:42881'},{'ENSG00000217241'},{'GENE ID:644101'}
11204,CBX4,HPC2,{'HGNC:1554'},{'ENSG00000141582'},{'GENE ID:8535'}
11205,CBX4,NBP16,{'HGNC:1554'},{'ENSG00000141582'},{'GENE ID:8535'}
11206,CBX4,PC2,{'HGNC:1554'},{'ENSG00000141582'},{'GENE ID:8535'}
11207,CBX4,hPC2,{'HGNC:1554'},{'ENSG00000141582'},{'GENE ID:8535'}
11208,CBX5,HEL25,{'HGNC:1555'},{'ENSG00000094916'},{'GENE ID:23468'}
11209,CBX5,HP1,{'HGNC:1555'},{'ENSG00000094916'},{'GENE ID:23468'}
11210,CBX5,HP1-ALPHA,{'HGNC:1555'},{'ENSG00000094916'},{'GENE ID:23468'}
11211,CBX5,HP1A,{'HGNC:1555'},{'ENSG00000094916'},{'GENE ID:23468'}
11212,CBX5,HP1ALPHA,{'HGNC:1555'},{'ENSG00000094916'},{'GENE ID:23468'}
11213,CBX5,HP1HS-ALPHA,{'HGNC:1555'},{'ENSG00000094916'},{'GENE ID:23468'}
11214,CBX5,HP1Hs-alpha,{'HGNC:1555'},{'ENSG00000094916'},{'GENE ID:23468'}
11215,CBX5,HP1alpha,{'HGNC:1555'},{'ENSG00000094916'},{'GENE ID:23468'}
11216,CBX5P1,,{'HGNC:38659'},{'ENSG00000241535'},{'GENE ID:100151661'}
11217,CBX6,,{'HGNC:1556'},{'ENSG00000183741'},{'GENE ID:23466'}
11218,CBX7,,{'HGNC:1557'},{'ENSG00000100307'},{'GENE ID:23492'}
11219,CBX7-AS1,,{'HGNC:58395'},{'ENSG00000279833'},{'GENE ID:141725161'}
11220,CBX8,HPC3,{'HGNC:15962'},{'ENSG00000141570'},{'GENE ID:57332'}
11221,CBX8,PC3,{'HGNC:15962'},{'ENSG00000141570'},{'GENE ID:57332'}
11222,CBX8,RC1,{'HGNC:15962'},{'ENSG00000141570'},{'GENE ID:57332'}
