,ENSG_ID,NCBI_ID,HGNC_ID,alias_symbol,gene_symbol
109256,ENSG00000174579,55167,25544,RNF184,MSL2
109257,ENSG00000119771,114818,29404,KBTBD9,KLHL29
109258,ENSG00000119771,114818,29404,KIAA1921,KLHL29
109268,ENSG00000187672,26059,31922,CAST,ERC2
109269,ENSG00000187672,26059,31922,CAST1,ERC2
109270,ENSG00000187672,26059,31922,ELKSL,ERC2
109271,ENSG00000187672,26059,31922,KIAA0378,ERC2
109272,ENSG00000187672,26059,31922,SPBC110,ERC2
109273,ENSG00000187672,26059,31922,SPC110,ERC2
109276,ENSG00000278598,102465464,50100,HSA-MIR-6775,MIR6775
109290,ENSG00000073737,10170,16888,3ALPHA-HSD,DHRS9
109291,ENSG00000073737,10170,16888,RDH15,DHRS9
109292,ENSG00000073737,10170,16888,RDHL,DHRS9
109293,ENSG00000073737,10170,16888,RETSDR8,DHRS9
109294,ENSG00000073737,10170,16888,SDR9C4,DHRS9
109299,ENSG00000221845,401335,34432,C7ORF65,LINC02902
109300,ENSG00000221845,401335,34432,FLJ44108,LINC02902
109315,ENSG00000006194,10127,13056,FPM315,ZNF263
109316,ENSG00000006194,10127,13056,ZKSCAN12,ZNF263
109317,ENSG00000006194,10127,13056,ZSCAN44,ZNF263
109332,ENSG00000273297,105375517,56367,RP11-38M8.1,LINC03060
109353,ENSG00000265902,100616402,41780,HSA-MIR-4696,MIR4696
109358,ENSG00000264176,,30148,MAGOH2,MAGOH2P
109360,ENSG00000118160,6543,11069,KIAA1087,SLC8A2
109361,ENSG00000118160,6543,11069,NCX2,SLC8A2
109363,ENSG00000166435,143570,18868,FLJ00225,XRRA1
109366,ENSG00000163508,8320,3372,TBR2,EOMES
109378,ENSG00000163817,54716,30927,IMINO,SLC6A20
109379,ENSG00000163817,54716,30927,SIT1,SLC6A20
109380,ENSG00000163817,54716,30927,XT3,SLC6A20
109381,ENSG00000163817,54716,30927,XTRP3,SLC6A20
109382,ENSG00000082438,22837,23571,KIAA0977,COBLL1
109383,ENSG00000167566,57701,29321,KIAA1602,NCKAP5L
109387,ENSG00000266777,,10835,CNSA-P1,SH3GL1P1
109388,ENSG00000266777,,10835,SH3GLP1,SH3GL1P1
109400,ENSG00000231784,,38519,ELP2P,DBIL5P
109407,ENSG00000118162,11133,6404,2E4,KPTN
109408,ENSG00000118162,11133,6404,KICS4,KPTN
109410,ENSG00000240280,,30707,TCAM1,TCAM1P
109412,ENSG00000188662,,30616,H1-9,H1-9P
109413,ENSG00000188662,,30616,H1.9,H1-9P
109414,ENSG00000188662,,30616,HILS1,H1-9P
109419,ENSG00000261040,,50357,LNC-DC,WFDC21P
109420,ENSG00000261040,,50357,LNCDC,WFDC21P
109421,ENSG00000261040,,50357,LOC645638,WFDC21P
109427,ENSG00000259680,,55105,IGHV3/OR16-17,IGHV3OR16-17
109431,ENSG00000236548,,50866,STL,RNF217-AS1
