,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
2198,ANGPTL4,"ARP4,FIAF,HFARP,NL2,PGAR,PP1158",ENSG00000167772,16039.0,51129.0,NL2,ENSG
2199,NLGN1,"KIAA1070,NLG1",ENSG00000169760,14291.0,22871.0,NLG1,ENSG
2200,KIRREL2,"DKFZP564A1164,FILTRIN,MGC15718,NEPH3,NLG1",ENSG00000126259,18816.0,84063.0,NLG1,ENSG
2201,EMC8,"C16ORF2,C16ORF4,COX4NB,FAM158B,NOC4",ENSG00000131148,7864.0,10328.0,NOC4,ENSG
2202,NOC4L,"MGC3162,NET49,NOC4,UTP19",ENSG00000288146,28461.0,79050.0,NOC4,ENSG
2203,NR4A3,"CHN,CSMF,MINOR,NOR1",ENSG00000119508,7982.0,8013.0,NOR1,ENSG
2204,OSCP1,"C1ORF102,NOR1",ENSG00000116885,29971.0,127700.0,NOR1,ENSG
2205,NOS2,"HEP-NOS,INOS,NOS,NOS2A",ENSG00000007171,7873.0,4843.0,NOS,ENSG
2206,NOS1,"NNOS,NOS",ENSG00000089250,7872.0,4842.0,NOS,ENSG
2207,PLXNA1,"NOV,PLXN1",ENSG00000114554,9099.0,5361.0,NOV,ENSG
2208,CCN3,"IGFBP9,NOV",ENSG00000136999,7885.0,4856.0,NOV,ENSG
2209,RPL10,"DXS648,DXS648E,FLJ23544,L10,NOV,QM,UL16",ENSG00000147403,10298.0,6134.0,NOV,ENSG
2210,ZNF384,"CAGH1A,CIZ,NMP4,NP,TNRC1",ENSG00000126746,11955.0,171017.0,NP,ENSG
2211,PNP,"NP,PUNP",ENSG00000291814,7892.0,4860.0,NP,ENSG
2212,CTF2P,NP,ENSG00000230447,33173.0,,NP,ENSG
2213,NXPH3,NPH3,ENSG00000182575,8077.0,11248.0,NPH3,ENSG
2214,NPHP3,"CFAP31,FLJ30691,FLJ36696,KIAA2000,MKS7,NPH3,SLSN3",ENSG00000113971,7907.0,27031.0,NPH3,ENSG
2215,NAP1L3,"MB20,MGC26312,NPL3",ENSG00000186310,7639.0,4675.0,NPL3,ENSG
2216,TAF15,"HTAFII68,NPL3,RBP56,TAF2N",ENSG00000276833,11547.0,8148.0,NPL3,ENSG
2217,CXCR4,"CD184,D2S201E,FUSIN,HM89,HSY3RR,LESTR,NPY3R,NPYR,NPYY3R",ENSG00000121966,2561.0,7852.0,NPYR,ENSG
2218,NPY1R,NPYR,ENSG00000164128,7956.0,4886.0,NPYR,ENSG
2219,NDOR1,"BA350O14.9,CIAE1,NR1",ENSG00000188566,29838.0,27158.0,NR1,ENSG
2220,GRIN1,"GLUN1,NMDAR1,NR1",ENSG00000176884,4584.0,2902.0,NR1,ENSG
2221,NFE2L2,"NRF-2,NRF2",ENSG00000116044,7782.0,4780.0,NRF2,ENSG
2222,GABPA,"E4TF1-60,E4TF1A,NFT2,NRF2,NRF2A",ENSG00000154727,4071.0,2551.0,NRF2,ENSG
2223,NEK4,"NRK2,PP12301,STK2",ENSG00000114904,11399.0,6787.0,NRK2,ENSG
2224,NMRK2,"ITGB1BP3,MIBP,NRK2",ENSG00000077009,17871.0,27231.0,NRK2,ENSG
2225,NAP1L1,"MGC23410,MGC8688,NAP1,NAP1L,NRP",ENSG00000187109,7637.0,4673.0,NRP,ENSG
2226,NRP1,"CD304,NRP,VEGF165R",ENSG00000099250,8004.0,8829.0,NRP,ENSG
2227,OPTN,"FIP-2,FIP2,GLC1E,HIP7,HYPL,NRP,TFIIIA-INTP",ENSG00000123240,17142.0,10133.0,NRP,ENSG
2228,CNTNAP1,"CASPR,CNTNAP,NRXN4,P190",ENSG00000108797,8011.0,8506.0,NRXN4,ENSG
2229,CNTNAP2,"CASPR2,KIAA0868,NRXN4",ENSG00000174469,13830.0,26047.0,NRXN4,ENSG
2230,GNL3,"C77032,E2IG3,MGC800,NS,NUG1",ENSG00000163938,29931.0,26354.0,NS,ENSG
2231,SPINK5,"DKFZP686K19184,FLJ21544,FLJ97536,FLJ97596,FLJ99794,LEKTI,LETKI,NETS,NS,VAKTI",ENSG00000133710,15464.0,11005.0,NS,ENSG
2232,TAF1,"BA2R,CCG1,CCGS,DYT3,DYT3/TAF1,KAT4,NSCL2,TAF2A,TAFII250",ENSG00000147133,11535.0,6872.0,NSCL2,ENSG
