,primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
74096,KIF13A,HGNC:14566,ENSG00000137177,GENE ID:63971,RBKIN
74097,STK33,HGNC:14568,ENSG00000130413,GENE ID:65975,
74098,JPT1,HGNC:14569,ENSG00000189159,GENE ID:51155,ARM2
74099,JPT1,HGNC:14569,ENSG00000189159,GENE ID:51155,HN1A
74100,RHBG,HGNC:14572,ENSG00000132677,GENE ID:57127,SLC42A2
74101,ENTPD4,HGNC:14573,ENSG00000197217,GENE ID:9583,LALP70
74102,ENTPD4,HGNC:14573,ENSG00000197217,GENE ID:9583,LAP70
74103,ENTPD4,HGNC:14573,ENSG00000197217,GENE ID:9583,KIAA0392
74104,ENTPD4,HGNC:14573,ENSG00000197217,GENE ID:9583,NTPDase-4
74105,ENTPD4,HGNC:14573,ENSG00000197217,GENE ID:9583,UDPase
74106,MEG8,HGNC:14574,ENSG00000225746,GENE ID:79104,NCRNA00024
74107,MEG8,HGNC:14574,ENSG00000225746,GENE ID:79104,Irm
74108,MEG8,HGNC:14574,ENSG00000225746,GENE ID:79104,Rian
74109,MEG8,HGNC:14574,ENSG00000225746,GENE ID:79104,Bsr
74110,MEG8,HGNC:14574,ENSG00000225746,GENE ID:79104,LINC00024
74111,MEG8,HGNC:14574,ENSG00000225746,GENE ID:79104,AL132709.8
74112,MEG8,HGNC:14574,ENSG00000225746,GENE ID:79104,lnc-MGC
74113,MEG3,HGNC:14575,ENSG00000214548,GENE ID:55384,GTL2
74114,MEG3,HGNC:14575,ENSG00000214548,GENE ID:55384,NCRNA00023
74115,MEG3,HGNC:14575,ENSG00000214548,GENE ID:55384,LINC00023
74116,MEG3,HGNC:14575,ENSG00000214548,GENE ID:55384,onco-lncRNA-83
74117,MCF2L,HGNC:14576,ENSG00000126217,GENE ID:23263,KIAA0362
74118,MCF2L,HGNC:14576,ENSG00000126217,GENE ID:23263,DBS
74119,MCF2L,HGNC:14576,ENSG00000126217,GENE ID:23263,OST
74120,MCF2L,HGNC:14576,ENSG00000126217,GENE ID:23263,ARHGEF14
74121,VPS45,HGNC:14579,ENSG00000136631,GENE ID:11311,h-vps45
74122,VPS45,HGNC:14579,ENSG00000136631,GENE ID:11311,H1
74123,CALU,HGNC:1458,ENSG00000128595,GENE ID:813,
74124,ARHGEF11,HGNC:14580,ENSG00000132694,GENE ID:9826,KIAA0380
74125,ARHGEF11,HGNC:14580,ENSG00000132694,GENE ID:9826,GTRAP48
74126,ARHGEF11,HGNC:14580,ENSG00000132694,GENE ID:9826,PDZ-RHOGEF
74127,PINK1,HGNC:14581,ENSG00000158828,GENE ID:65018,BRPK
74128,LAMP3,HGNC:14582,ENSG00000078081,GENE ID:27074,LAMP
