,collision,gene_symbol,ENSG_ID,source,gene_symbol_count
2825,PSP,"['RIDA', ' STXBP3', ' MSMB', ' REG1A', ' BPIFA2', ' PSPH', ' PSPN']","ENSG00000132541, ENSG00000116266, ENSG00000263639, ENSG00000115386, ENSG00000131050, ENSG00000146733, ENSG00000125650",NCBI,7
2450,P120,"['TRPA1', ' IGSF1', ' NSUN5', ' CTNND1', ' NOP2', ' RASA1', ' BRD8']","ENSG00000104321, ENSG00000147255, ENSG00000130305, ENSG00000198561, ENSG00000111641, ENSG00000145715, ENSG00000112983",NCBI,7
679,HOX4,"['HOXD3', ' HOXD1', ' HOXD8', ' HOXD10', ' HOXD11', ' HOXD4', ' HOXD9']","ENSG00000128652, ENSG00000128645, ENSG00000175879, ENSG00000128710, ENSG00000128713, ENSG00000170166, ENSG00000128709",ENSG,7
860,PAP,"['ASAP1', ' ACP3', ' TUSC2', ' PDAP1', ' PAPOLA', ' MRPS30', ' ASAP2']","ENSG00000153317, ENSG00000014257, ENSG00000114383, ENSG00000106244, ENSG00000090060, ENSG00000112996, ENSG00000151693",HGNC,7
112,ASP,"['ROPN1L', ' ASPA', ' ASIP', ' A1CF', ' ASPM', ' ATG5', ' TMPRSS11D']","ENSG00000145491, ENSG00000108381, ENSG00000101440, ENSG00000148584, ENSG00000066279, ENSG00000057663, ENSG00000153802",ENSG,7
3564,U4,"['RNU4-1', ' RNU4-6P', ' RNU4-5P', ' RNU4-4P', ' RNU4-7P', ' RNU4-8P', ' RNU4-3P']","ENSG00000200795, nan, nan, nan, nan, nan, nan",NCBI,7
3414,TFIIH,"['GTF2H1', ' GTF2H3', ' ERCC3', ' GTF2H4', ' GTF2H5', ' ERCC2', ' GTF2H2']","ENSG00000110768, ENSG00000111358, ENSG00000163161, ENSG00000213780, ENSG00000272047, ENSG00000104884, ENSG00000145736",NCBI,7
785,P18,"['MAFK', ' LAMTOR1', ' H3P12', ' TPPP2', ' ATRAID', ' CDKN2C', ' ZNF197']","ENSG00000198517, ENSG00000149357, ENSG00000230618, ENSG00000179636, ENSG00000138085, ENSG00000123080, ENSG00000186448",HGNC,7
694,CR,"['CRIPTO', ' PPHLN1', ' CD55', ' DHRS4', ' CALB2', ' EDARADD', ' CR2']","ENSG00000241186, ENSG00000134283, ENSG00000196352, ENSG00000157326, ENSG00000172137, ENSG00000186197, ENSG00000117322",NCBI,7
2442,P1,"['PRF1', ' PRM1', ' B3GALNT1', ' RPLP1', ' A4GALT', ' CRYGFP', ' PMEL']","ENSG00000180644, ENSG00000175646, ENSG00000169255, ENSG00000137818, ENSG00000128274, nan, ENSG00000185664",NCBI,7
2568,PAP,"['REG3A', ' TUSC2', ' PDAP1', ' PAPOLA', ' MRPS30', ' ASAP2', ' ASAP1']","ENSG00000172016, ENSG00000114383, ENSG00000106244, ENSG00000090060, ENSG00000112996, ENSG00000151693, ENSG00000153317",NCBI,7
466,CAR,"['CXADRP1', ' SPG7', ' TRIM13', ' NR1I3', ' PRKAR1A', ' CASR', ' CXADR']","ENSG00000214319, ENSG00000197912, ENSG00000204977, ENSG00000143257, ENSG00000108946, ENSG00000036828, ENSG00000154639",NCBI,7
678,HOX3,"['HOXC13', ' HOXC8', ' HOXC9', ' HOXC5', ' HOXC6', ' HOXC12', ' HOXC4']","ENSG00000123364, ENSG00000037965, ENSG00000180806, ENSG00000172789, ENSG00000197757, ENSG00000123407, ENSG00000198353",ENSG,7
1597,HOX4,"['HOXD1', ' HOXD3', ' HOXD4', ' HOXD10', ' HOXD8', ' HOXD11', ' HOXD9']","ENSG00000128645, ENSG00000128652, ENSG00000170166, ENSG00000128710, ENSG00000175879, ENSG00000128713, ENSG00000128709",NCBI,7
1596,HOX3,"['HOXC8', ' HOXC5', ' HOXC12', ' HOXC4', ' HOXC9', ' HOXC6', ' HOXC13']","ENSG00000037965, ENSG00000172789, ENSG00000123407, ENSG00000198353, ENSG00000180806, ENSG00000197757, ENSG00000123364",NCBI,7
