,NCBI_ID,gene_symbol,alias_symbol,HGNC_ID,ENSG_ID
18733,149992,ANKRD30BP2,CTSP1,16620,
18734,149998,LIPI,CT17,18821,ENSG00000188992
18734,149998,LIPI,LPDL,18821,ENSG00000188992
18734,149998,LIPI,PLA1C,18821,ENSG00000188992
18734,149998,LIPI,PRED5,18821,ENSG00000188992
18734,149998,LIPI,MPA-PLA1 BETA,18821,ENSG00000188992
18735,150000,ABCC13,ABCC13P,16022,ENSG00000291052
18735,150000,ABCC13,C21ORF73,16022,ENSG00000291052
18735,150000,ABCC13,PRED6,16022,ENSG00000291052
18737,150082,LCA5L,C21ORF13,1255,ENSG00000157578
18738,150084,IGSF5,GSF5,5952,ENSG00000183067
18738,150084,IGSF5,JAM4,5952,ENSG00000183067
18739,150094,SIK1,DEE30,11142,ENSG00000142178
18739,150094,SIK1,MSK,11142,ENSG00000142178
18739,150094,SIK1,SIK,11142,ENSG00000142178
18739,150094,SIK1,SIK-1,11142,ENSG00000142178
18739,150094,SIK1,SIK1B,11142,ENSG00000142178
18739,150094,SIK1,SNF1LK,11142,ENSG00000142178
18740,150135,LINC00479,C21ORF129,19727,ENSG00000236384
18740,150135,LINC00479,PRED76,19727,ENSG00000236384
18741,150142,ZNF295-AS1,C21ORF121,23130,ENSG00000237232
18741,150142,ZNF295-AS1,NCRNA00318,23130,ENSG00000237232
18741,150142,ZNF295-AS1,PRED87,23130,ENSG00000237232
18742,150147,UMODL1-AS1,C21ORF128,23821,ENSG00000184385
18743,150159,SLC9B1,NHA1,24244,ENSG00000164037
18743,150159,SLC9B1,NHEDC1,24244,ENSG00000164037
18744,150160,CCT8L2,CESK1,15553,ENSG00000198445
18745,150165,XKR3,XRG3,28778,ENSG00000172967
18745,150165,XKR3,XTES,28778,ENSG00000172967
18748,150209,AIFM3,AIFL,26398,ENSG00000183773
18749,150221,RIMBP3C,RIM-BP3.3,33892,ENSG00000183246
18749,150221,RIMBP3C,RIMBP3.3,33892,ENSG00000183246
18751,150244,ZDHHC8BP,ZDHHC8P,26461,ENSG00000290920
18751,150244,ZDHHC8BP,ZDHHC8P1,26461,ENSG00000290920
18752,150248,C22ORF15,N27C7-3,15558,ENSG00000169314
18753,150274,HSCB,DNAJC20,28913,ENSG00000100209
18753,150274,HSCB,HSC20,28913,ENSG00000100209
18753,150274,HSCB,JAC1,28913,ENSG00000100209
18753,150274,HSCB,SIDBA5,28913,ENSG00000100209
18754,150275,CCDC117,DJ366L4.1,26599,ENSG00000159873
18755,150280,HORMAD2,CT46.2,28383,ENSG00000176635
18756,150290,DUSP18,DSP18,18484,ENSG00000167065
18756,150290,DUSP18,DUSP20,18484,ENSG00000167065
18756,150290,DUSP18,LMWDSP20,18484,ENSG00000167065
18757,150291,MORC2-AS1,C22ORF27,26662,ENSG00000235989
18757,150291,MORC2-AS1,NCRNA00325,26662,ENSG00000235989
18758,150297,C22ORF42,DJ90G24.6,27160,ENSG00000205856
18759,150350,ENTHD1,CACNA1I,26352,ENSG00000176177
18759,150350,ENTHD1,DJ370M22.3,26352,ENSG00000176177
18760,150353,DNAJB7,DJ5,24986,ENSG00000172404
18760,150353,DNAJB7,HSC3,24986,ENSG00000172404
18761,150356,CHADL,SLRR4B,25165,ENSG00000100399
18762,150365,MEI1,HYDM3,28613,ENSG00000167077
18762,150365,MEI1,SPATA38,28613,ENSG00000167077
18763,150368,PHETA2,FAM109B,27161,ENSG00000177096
18763,150368,PHETA2,IPIP27B,27161,ENSG00000177096
18763,150368,PHETA2,SES2,27161,ENSG00000177096
18764,150372,NFAM1,CNAIP,29872,ENSG00000235568
