,HGNC_ID,alias_symbol,NCBI_ID,ENSG_ID,gene_symbol
502,3569,{'LACS1'},2180,ENSG00000151726,ACSL1
503,3569,{'FACL1'},2180,ENSG00000151726,ACSL1
504,3570,{'ACS3'},2181,ENSG00000123983,ACSL3
505,3570,{'PRO2194'},2181,ENSG00000123983,ACSL3
508,3571,{'ACS4'},2182,ENSG00000068366,ACSL4
509,3571,{'LACS4'},2182,ENSG00000068366,ACSL4
510,16526,{'ACS5'},51703,ENSG00000197142,ACSL5
511,16526,{'ACS2'},51703,ENSG00000197142,ACSL5
512,16496,{'KIAA0837'},23305,ENSG00000164398,ACSL6
513,16496,{'ACS2'},23305,ENSG00000164398,ACSL6
514,16496,{'LACS5'},23305,ENSG00000164398,ACSL6
515,16496,{'LACS2'},23305,ENSG00000164398,ACSL6
517,18049,{'MACS1'},116285,ENSG00000166743,ACSM1
518,32017,{'A-923A4.1'},123876,ENSG00000183747,ACSM2A
519,32017,{'MGC150530'},123876,ENSG00000183747,ACSM2A
520,30931,{'HXMA'},348158,ENSG00000066813,ACSM2B
521,30931,{'HYST1046'},348158,ENSG00000066813,ACSM2B
522,10522,{'SA'},6296,ENSG00000005187,ACSM3
