,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol,source
4173,ENSG00000113441,LNPEP,6656,4012, IRAP,HGNC
7292,ENSG00000136689,IL1RN,6000,3557, IRAP,HGNC
13538,ENSG00000173812,EIF1,3249,10209, ISO1,HGNC
12137,ENSG00000167720,SRR,14398,63826, ISO1,HGNC
9595,ENSG00000153147,SMARCA5,11101,8467, ISWI,HGNC
2612,ENSG00000102038,SMARCA1,11097,6594, ISWI,HGNC
6308,ENSG00000130726,TRIM28,16384,10155, KAP-1,HGNC
1329,ENSG00000075945,KIFAP3,17060,22920, KAP-1,HGNC
8902,ENSG00000147133,TAF1,11535,6872, KAT4,HGNC
5601,ENSG00000125166,GOT2,4433,2806, KAT4,HGNC
10850,ENSG00000162989,KCNJ3,6264,3760, KGA,HGNC
4414,ENSG00000115419,GLS,4331,2744, KGA,HGNC
16328,ENSG00000187391,MAGI2,18957,9863, KIAA0705,HGNC
5341,ENSG00000123165,ACTRT1,24027,139741, KIAA0705,HGNC
39201,ENSG00000274143,KIR2DL5A,16345,57292, KIR2DL5,HGNC
42510,,KIR2DL5B,16346,553128, KIR2DL5,HGNC
7411,ENSG00000137207,YIPF3,21023,25844, KLIP1,HGNC
9418,ENSG00000151725,CENPU,21348,79682, KLIP1,HGNC
10565,ENSG00000161298,ZNF382,17409,84911, KS1,HGNC
8724,ENSG00000145824,CXCL14,10640,9547, KS1,HGNC
3706,ENSG00000109881,CCDC34,25079,91057, L15,HGNC
13697,ENSG00000174748,RPL15,10306,6138, L15,HGNC
10470,ENSG00000160584,SIK3,29165,23387, L19,HGNC
31342,ENSG00000243290,IGKV1-12,5730,28940, L19,HGNC
3500,ENSG00000108298,RPL19,10312,6143, L19,HGNC
1803,ENSG00000089009,RPL6,10362,6128, L6,HGNC
6733,ENSG00000133398,MED10,28760,84246, L6,HGNC
2773,ENSG00000103197,TSC2,12363,7249, LAM,HGNC
11631,ENSG00000165699,TSC1,12362,7248, LAM,HGNC
9435,ENSG00000151849,CENPJ,17272,55835, LAP,HGNC
22,ENSG00000002549,LAP3,18449,51056, LAP,HGNC
8341,ENSG00000143337,TOR1AIP1,29456,26092, LAP1,HGNC
6410,ENSG00000131323,TRAF3,12033,7187, LAP1,HGNC
7079,ENSG00000135517,MIP,7103,4284, LIM1,HGNC
39127,ENSG00000273706,LHX1,6593,3975, LIM1,HGNC
7513,ENSG00000137804,NUSAP1,18538,51203, LNP,HGNC
8523,ENSG00000144320,LNPK,21610,80856, LNP,HGNC
10784,ENSG00000162738,VANGL2,15511,57216, LPP1,HGNC
997,ENSG00000067113,PLPP1,9228,8611, LPP1,HGNC
1593,ENSG00000083454,P2RX5,8536,5026, LRH-1,HGNC
4621,ENSG00000116833,NR5A2,7984,2494, LRH-1,HGNC
7480,ENSG00000137642,SORL1,11185,6653, LRP9,HGNC
17239,ENSG00000197324,LRP10,14553,26020, LRP9,HGNC
17188,ENSG00000197150,ABCB8,49,11194, M-ABC1,HGNC
498,ENSG00000033050,ABCF2,71,10061, M-ABC1,HGNC
10499,ENSG00000160789,LMNA,6636,4000, MADA,HGNC
4604,ENSG00000116748,AMPD1,468,270, MADA,HGNC
4370,ENSG00000115216,NRBP1,7993,29959, MADM,HGNC
7532,ENSG00000137845,ADAM10,188,102, MADM,HGNC
1275,ENSG00000074800,ENO1,3350,2023, MBP-1,HGNC
2045,ENSG00000095951,HIVEP1,4920,3096, MBP-1,HGNC
13072,ENSG00000171681,ATF7IP,20092,55729, MCAF,HGNC
3567,ENSG00000108691,CCL2,10618,6347, MCAF,HGNC
13486,ENSG00000173546,CSPG4,2466,1464, MCSP,HGNC
12059,ENSG00000167468,GPX4,4556,2879, MCSP,HGNC
9837,ENSG00000155380,SLC16A1,10922,6566, MCT1,HGNC
2245,ENSG00000100294,MCAT,29622,27349, MCT1,HGNC
8892,ENSG00000147100,SLC16A2,10923,6567, MCT7,HGNC
3602,ENSG00000108932,SLC16A6,10927,9120, MCT7,HGNC
13266,ENSG00000172460,PRSS30P,28753,124221, MGC5228,HGNC
7258,ENSG00000136450,SRSF1,10780,6426, MGC5228,HGNC
11131,ENSG00000163885,CFAP100,26842,348807, MIA1,HGNC
36673,ENSG00000261857,MIA,7076,8190, MIA1,HGNC
2145,ENSG00000099977,DDT,2732,1652, MIF2,HGNC
8643,ENSG00000145241,CENPC,1854,1060, MIF2,HGNC
242,ENSG00000009950,MLXIPL,12744,51085, MIO,HGNC
11372,ENSG00000164654,MIOS,21905,54468, MIO,HGNC
16980,ENSG00000196459,TRAPPC2,23068,6399, MIP-2A,HGNC
35116,ENSG00000256060,TRAPPC2B,10710,10597, MIP-2A,HGNC
1591,ENSG00000083312,TNPO1,6401,3842, MIP1,HGNC
4897,ENSG00000119487,MAPKAP1,18752,79109, MIP1,HGNC
4306,ENSG00000114738,MAPKAPK3,6888,7867, MK3,HGNC
14193,ENSG00000177272,KCNA3,6221,3738, MK3,HGNC
6662,ENSG00000132932,ATP8A2,13533,51761, ML-1,HGNC
3993,ENSG00000112116,IL17F,16404,112744, ML-1,HGNC
38914,ENSG00000272333,KMT2B,15840,9757, MLL4,HGNC
12079,ENSG00000167548,KMT2D,7133,8085, MLL4,HGNC
1920,ENSG00000091262,ABCC6,57,368, MLP1,HGNC
13773,ENSG00000175130,MARCKSL1,7142,65108, MLP1,HGNC
14883,ENSG00000180992,MRPL14,14279,64928, MRP-L32,HGNC
3325,ENSG00000106591,MRPL32,14035,64983, MRP-L32,HGNC
434,ENSG00000023839,ABCC2,53,1244, MRP2,HGNC
9265,ENSG00000150361,KLHL1,6352,57626, MRP2,HGNC
8398,ENSG00000143546,S100A8,10498,6279, MRP8,HGNC
122,ENSG00000006071,ABCC8,59,6833, MRP8,HGNC
11659,ENSG00000165819,METTL3,17563,56339, MT-A70,HGNC
2412,ENSG00000100982,PCIF1,16200,63935, MT-A70,HGNC
8824,ENSG00000146463,ZMYM4,13055,9202, MYM,HGNC
17155,ENSG00000197056,ZMYM1,26253,79830, MYM,HGNC
11121,ENSG00000163867,ZMYM6,13050,9204, MYM,HGNC
8901,ENSG00000147130,ZMYM3,13054,9203, MYM,HGNC
5176,ENSG00000121741,ZMYM2,12989,7750, MYM,HGNC
6664,ENSG00000132950,ZMYM5,13029,9205, MYM,HGNC
16287,ENSG00000187109,NAP1L1,7637,4673, NAP1,HGNC
2539,ENSG00000101473,ACOT8,15919,10005, NAP1,HGNC
