,ambiguous symbol,number of abstracts with a match
5132, FBXL9,0
5133,SCP2,500
5134,SH3PXD1B,0
5135, G7A,48
5136, LILRA6P,0
5137,APOLV,1
5138,TMEM14E,1
5139,C14ORF142,3
5140,TCRBV19S1P,1
5141,CFC,4259
5142,AMY,8030
5143,TCRAV10S1,0
5144,GLP1,15533
5145, CDIP,81
5146, PCDHY,7
5147,OR52J4P,0
5148, SDR30C1,0
5149,C22ORF32,2
5150,ISWI,509
5151,RFP,3968
5152,CT12.1A,0
5153, CTL4,65
5154, TSSK1,27
5155, RF1,13622
5156,TP53TG3A,1
5157,MGC23166,0
5158,PIP5K2B,7
5159,GOLTC1,0
5160,MEGT1,3
5161, OFDYP16,0
5162,NL2,267
5163, TDE2,11
5164,RNA28SP,0
5165,KIAA0628,0
5166,IGHV(II)-26-2,0
5167, MS4A4,6
5168, PRL3,310
5169,CEPTRL2,0
5170, JDF2,5
5171, NG38,5
5172,PAD,34362
5173, T2R64P,0
5174,KIAA1542,14
5175,PACER,1086
5176,TCRBV28S1,0
5177, BTN2.1,0
5178, TCRBV23S1A2T,0
5179,IGFBP-3R,14
5180,AL683807.1,0
5181, HIP8,8
5182,TUBB4Q,5
5183, NOP132,2
5184,MP70,51
5185,GTK,139
5186, PR70,18
5187, SPERGEN2,1
5188,PLRP2,123
5189,KAP4A,0
5190,TCRBV2S1,5
5191, ORP1,100
5192, INT6,86
5193,CMT2T,5
5194, HLA-90,0
5195,FAM169B,0
5196,TIM,14053
5197, LINC-HEIH,0
5198,FTHL2,0
5199,NEM2,21
5200, NKAT5,0
5201,FLJ35934,1
5202, PSK-1,19
5203,A1B,3894
5204,D14S1460,0
5205,Stv1,34
5206,LOC653786,1
5207, P11,6046
5208,DFNB102,2
5209,bHLHe38,0
5210, PRG-3,10
5211, MTXP,7
5212, CES1A1,25
5213,CPT,18340
5214,RAM1,138
5215,LEU2,930
5216, N8L,34
5217,C20ORF36,0
5218, HCAP,605
5219,CXorf52,0
5220, PRED80,0
5221,47.11,1241
5222,AOH1,9
5223,PCDHX,9
5224, P52,1820
5225, TRBV82,0
5226, PPP3IN,0
5227, HSHGMP07J,0
5228, TID1-L,7
5229,MU,122375
5230,H2B.1,48
5231, ODZ3,17
5232,A1A,2540
5233,SMHC,315
5234, SRB6,22
5235, PNMA6C,0
5236, PCDH-BETA5,0
5237,RIP3,1148
5238, PRKBG,0
5239,TLN,542
5240,PRSSL1,3
5241,IFN-ALPHAI,1
5242,POTE22,2
5243,ARSC,357
5244, FLJ14049,0
5245,POB1,42
5246, HACC1,2
5247,ALT1,137
5248,RP11-1101K5.1,0
5249,RP11-308N19.1,0
5250, RRP17,6
5251,p180,457
5252, CKB8,0
5253,FAM115D,0
5254, G6C,9
5255, LNC-MBL2-4,1
5256,AT3,506
5257,CANP,314
5258,FLJ13852,0
5259,HSA-MIR-124-1,5
5260, DKFZP779M2348,0
5261, SEN34,14
5262,GPAT,449
5263,LINC00086,3
5264,KAP1.3,4
5265, TOB55,18
5266, MGC26189,0
5267,FGF-13,146
5268,TUBB4,31
5269, MGC24556,0
5270, IGER,139
5271,FLJ39647,0
5272,DP2B,2
5273, MGC102753,0
5274,PLIP,100
5275, RNU1A1,2
5276,CCRL1,21
5277, DIA,14182
5278, NKAT1,2
5279,ASH1,295
5280,ANG1,2301
5281, FOLHP,0
5282,AGT1,93
5283,C20ORF62,0
5284,DIC74,0
5285, PAUL,163885
5286,RN5S136,0
5287, FE,187499
5288, NAT,277758
5289, SH3PXD4,0
5290, DPK,401
5291,CGI-141,0
5292,HP51CN,1
5293,GIF,22705
5294, XE7,11
5295,M-FABP,16
5296, MLSN1,11
5297, DBS,16041
5298, ALIEN,24617
5299,FLJ14888,0
5300, CKMT1,32
5301,R-CAD,10
5302, HTEX4,3
5303, OSIL,8
5304,NDUFA6-AS1,2
5305,ARHGEF5L,0
5306, DMP4,12
5307,hg523,0
5308, RSK1,366
5309,KIAA0200,2
5310,MRLC2,30
5311,KIAA0430,1
5312, GOLGA6L5,0
5313, MCSP,1668
5314,GP,82346
5315,GP150,123
5316, TSPY,242
5317, RING3,65
5318, FAM158A,3
5319,IMP,13437
5320, UGT2,93
5321,NDNL1,3
5322,CEP1,205
5323,MIR-199-s,0
5324,CHED2,26
5325,TAO1,59
5326,FC(GAMMA)BP,68
5327, KIR48,0
5328, TIKI1,6
5329, P450C21A,13
5330,PS2,2974
5331, TCP228,0
5332,UMPK,59
5333,DAB1,580
5334,IGHD524,1
5335,MOR1,290
5336, LAMP,29362
5337,MIHC,255
5338, SELX,41
5339, FAM7B1,0
5340,CBWD3,0
5341, PCDHB18,1
5342,GPR89,5
5343, MAGE3,323
5344,TSC,6767
5345,LST3,4
5346,CLMF,29
5347,TUBB2,23
5348,OSF-2,59
5349, TAKL-4,0
5350, LENG12,0
5351,KS,65472
5352,NT3,3141
5353, PCE-3,40
5354,LRRC65,0
5355,PRIMA,4285
5356, MGC10731,0
5357, PLAC-24,3
5358,MCPH4,10
5359,MMP-25,52
5360, ZDHHC8P,0
5361, U1P15,0
5362,SAMC,155
5363,Met,294134
5364,SCC1,402
5365,P33,1053
5366, DRM,2705
5367,H2B/a,4
5368, HLA-DRB1L,0
5369,EM:AB023056.13,600323
5370,FLJ20719,0
5371, MIP-1-BETA,361
5372, MYM,229
5373,U4,2064
5374,NS,412126
5375, GDA,3902
5376,HB2,349
5377,PSF,4727
5378,NOX5A,0
5379, ATPIP,5
5380,ELA2,155
5381, ST2L,238
5382,HPR1,164
5383,MGC35450,0
5384,TGN38,196
5385, MIR3690-2,0
5386, TPH2,1160
5387, TAFII31,16
5388, PDI,15858
5389,PBCRA,8
5390,C17orf106,0
5391,MLC2B,12
5392, DUBA,286
5393,MCT4,945
5394,RGP3,2
5395,IGHV3-H,1
5396, TCONS_L2_00021807,7
5397, ZKSCAN9,0
5398,HSA-MIR-4740,0
5399,MSAP,1296
5400,NK1,6282
5401, TRBV68,1
5402,GAP,234210
5403, DLNB14,1
5404, Stv1,34
5405,CSRP2BP,9
5406, BTNL11,0
5407, MRK,676
5408,MRP-L18,1
5409,AGS4,35
5410, LAP,9485
5411, LAMR1P2,0
5412, KIR2DS6,0
5413,ZNF20,6
5414, HCA2,119
5415,BTEB3,9
5416, SUMO2P,0
5417, ZGRF7,5221
5418,T2R13,2
5419,CHE1,132
5420,PSP,10541
5421,C20orf45,0
5422,CAIN,7021
5423,HGFL,45
5424,CMM8,2
5425, FLJ16061,0
5426,RIS1,20
5427, NCRNA00301,0
5428, NDNL2,4
5429,LCAD,237
5430,C14ORF77,0
5431, MIR3690-1,0
5432, GLA,13470
5433, PERB11,23
5434,CBBM,313
5435,DXP'1,3
5436,IL-28A,156
5437,ERp60,4779
5438, EDG2,142
5439,HMG-1,11101
5440, MM28,22
5441,DJ271M21.8,0
5442, LINC02904,0
5443,ARTC1,11
5444,FIG,13422
5445,NR1,3908
5446,4F-SE9[6:7:8],0
5447, EVE-1,12
5448,AE2,566
5449, MRG2,13
5450,BCDS1,1
5451, CT24.1,0
5452,ANTP1,1
5453,A-ROD,2976
5454,DTD,897
5455,KSP37,13
5456,ANG2,2406
5457,DJ994E9.2,0
5458,CRHSP24,7
5459,NANOGP3,2
5460,CDH14,4
5461,FBRNP,1
5462, OR6-4,1
5463,C11orf3,1
5464, ZNF305P2,0
5465, PEN11B,0
5466,CARP-2,34
5467,OR6W1,0
5468, ACCA,630
5469,C16ORF5,1
5470,HBP3,7
5471,U87,6263
5472, MBP,16429
5473,SD,500458
5474, AMLCR1,19
5475,NAP4,53
5476, S18,2586
5477, TCS3,10
5478,TRAP2,43
5479,C8ORF73,0
5480,CD32,1029
5481,TCRBV6S9P,0
5482, KRTAP5.1,3
5483, ARALAR1,27
5484,P66BETA,11
5485,DREV1,1
5486, PGY4,479
5487,STRA13,91
5488,FAM74A2,0
5489,HSA-MIR-1245B,0
5490,CT-2,916
5491,UNQ192,0
5492, HCG8,2
5493,HSD4,33
5494,AMIDA,99
5495, FSHRG1,0
5496,SEP1,256
5497,OR9P2P,0
5498,COX,298815
5499,C17DUPp13.3,0
5500, P54,811
5501,SWI2,415
5502,CML2,9
5503,CH17-360D5.1,0
5504,SPT3,114
5505,p13,6141
5506, MGC8421,0
5507, SGNE1,15
5508,PTPRZ,62
5509, FDH,987
5510,FAM39E,0
5511, SCYA18,4
5512,MAD1,653
5513,p44,4028
5514, NFKBIL,5
5515,IAN2,12
5516,PIG8,22
5517,OR19-6,0
5518, HNRPA1P2,0
5519, STK19P,0
5520,ALP,30655
5521, EIF2B,764
5522, DKFZP547P234,0
5523,CT72,1
5524, SORF-2,3
5525,RAET1G-AS1,0
5526,NMLY6,0
5527, SLC22A1L,6
5528,BA244N20.11,0
5529,ALC1,103
5530,HMSNP,42
5531, TSH1,58
5532,NSUN5B,1
5533,HPRP8,9
5534,CRD,9328
5535, CRHR1-IT1,2
5536,ABCB2,37
5537,p28,1699
5538, ALP,30655
5539, TBP1,160
5540, SAST,188
5541,ARP11,17
5542, MIC2X,8
5543,KCNA8,2
5544,CCDC84-DT,0
5545, RNU1C2,0
5546, RENS1,20
5547, MTBT1,2
5548, IEX-1L,5
5549, NG20,51
5550,C11ORF4,1
5551,GCR2,43
5552,BMD,37847
5553, SMA3-L,0
5554,HHAA,13
5555, TRY2P,0
5556,FALDH,103
5557, SMMHC,423
5558, VMA6,10
5559,CAPZ,275
5560, TAS2R49,1
5561,HS6M1-25,0
5562,CNSA3,1
5563,ETS7Q,0
5564,ENST00000416860.2,1
5565, C16ORF60,1
5566, TRC8,41
5567, MLCK,1805
5568, HKE2,10
5569,ADTB1L1,0
5570, T200,401
5571, COSMC,141
5572, SNORA50,1
5573,TTF-1,2938
5574,EMC19,0
5575,MAGE2,55
5576, SKIV2L1,0
5577,CLIP,55258
5578, S10,49889
5579,URAH,7
5580, TRPC6P,0
5581,RAP1GA1,6
5582,SRC2,270
5583, XXBAC-BPG246D15.8,0
5584, FLJ20510,0
5585,CYP4F-SE8[6:7:8],0
5586, TRBV251,1
5587,BCAP,235
5588, RU2,706
5589, FRA,9209
5590, PROL4,0
5591, HG28K,0
5592, P47,3309
5593,NF1L4,1
5594, FLJ14855,0
5595, HCGIV-10,0
5596, FCGR1,161
5597,RAB1,617
5598, TRBJ25,3
5599,DELTA,212451
5600, C10ORF51,0
5601,KIAA1233,0
5602, RRP14,9
5603,PARG1,19
5604,HLA-17,3
5605, FAM139B,0
5606, TCRBV7S7,0
5607,NRXN4,1
5608,AMC1,24
5609,IFNT1,3
5610,GLUT6,52
5611,LINC01125,6
5612, ILT10,1
5613,F379,23
5614,PORC,1314
5615,BD-5,66
5616,L24,1987
5617,RAM,23767
5618,AD024,0
5619,DKFZP547D065,0
5620,NACHRA7,6
5621, TFIIIB90,14
5622,AGPAT9,20
5623, UPIIIB,1
5624,D22S749,0
5625,H-PLK,3
5626,FRP-2,1267
5627, SMIM11A,1
5628, D6S57,0
5629,CXorf11,0
5630,FLJ38819,0
5631, PSF,4727
5632,C6ORF28,0
5633,SPA1,418
5634,C7ORF34,1
5635,CT47.1,0
5636, RNU1E2,0
5637, TRG20,0
5638, NET,362421
5639, PRAF1,50
5640,4F5,151
5641,C19ORF57,7
5642,CD361,7
5643, DKFZP434C2322,0
5644, PBP,3210
5645,PKD4,1416
5646,ADPRTL3,2
5647,C4BP,596
5648, RLN3R1,1
5649, VMA4,21
5650, PAPA,11166
5651, DK1,101
5652,BLT2,229
5653,MCT5,17
5654,KIP1,4095
5655, ECSM2,8
5656,RN5S3,0
5657, B7H2,90
5658,TCRBV11S1,0
5659, MGC99547,0
5660, ORF1,2759
5661, SLC22A18-AS1,0
5662, FLJ11856,0
5663, DGK,1232
5664,EMAP-2,203
5665,OR7E73P,0
5666,HIST2H2BD,1
5667, FLJ20753,0
5668,RN5S17,0
5669,KAP4.2,2
5670,ATF6BETA,51
5671, CL-2,13048
5672,DFNA3,28
5673, TCF2,131
5674,P19,5404
5675,RGP4,2
5676, NCRNA00092,0
5677,DIP1,75
5678,ARGP1,8
5679,RNH1,86
5680,NOC2,51
5681, PA,4630487
5682, HCML2,0
5683, CCNYL2P,0
5684, PCDH23,0
5685, KLHDC7C,0
5686,ET,11003645
5687,KIAA0355,5
5688,HLA-DQB1,3788
5689, NKAT2B,0
5690, EIF4F,4080
5691, TFIIH,2288
5692, SULT1C2P1,1
5693,IGHV,1351
5694, PAD1,315
5695, FLOWER,97753
5696,GTF2IP18,0
5697,PCDH-ALPHA-C2,0
5698,HSS,8855
5699,TAP,30142
5700,DA1,1737
5701,P24,8919
5702, PD-1,32945
5703,APS,25899
5704, CDK11-p46,7
5705,BTF4,2
5706,NIK,1600
5707, SRC1,1190
5708, PORC,1314
5709, PRO1485,0
5710,RNU1-12P,0
5711,C6ORF142,1
5712, NOL5B,0
5713,NEDMEBA,1
5714, AMDP1,3
5715,C6orf68,1
5716,GPR136,3
5717,Nomo,144
5718, ARALAR,85
5719,P450C2D,0
5720,KGA,499
5721,LD78BETA,15
5722,NKHC,14
5723, CTLA1,19
5724,SCCA1,241
5725,RPS4P14,0
5726,ATP6G3,0
5727,KRT14P,1
5728, POTE-15,0
5729, FLJ20624,0
5730, MU2,1976
5731,C5A,6490
5732, CSMT,149
5733, MTF,4066
5734,TGP,999
5735,MIR,128037
5736,ZNF757,0
5737, LIR-8,2
5738,M6A,9056
5739,PSBG-9,0
5740,EEG1,15
5741,PSIPTEN,6
5742, MO15,73
5743,SIP,4959
5744, PRB1L,1
5745,GF1,293
5746,TRAD,1085
5747,UBC4/5,19
5748,CLG,630
5749, CLAPA2,0
5750,CSS3,29
5751,CPLP,78
5752,BING4,7
5753,OTTHUMG00000024148,0
5754,RAK,5274
5755, NCRNA00107,0
5756,ELOA3B,1
5757, NKAT9,1
5758,SMUC,120
5759,ECEL2,0
5760,D-DT,98
5761,SNAPA,14
5762, CXYORF3,0
5763,AGM1,99
5764,mu2,1976
5765, YEAF1,1
5766, S7,6748
5767,IGHV(III)-26-1,0
5768, MRPS18-2,16
5769, LTRPC1,0
5770, PLCL4,0
5771,APH2,447
5772,TRK1,195
5773, NF-E1,58
5774,LGMD1E,11
5775, HCG4P6,0
5776,IL-29,297
5777, PRR,4465
5778,MAGE1,319
5779, KIAA0991,0
5780,MFT,1771
5781, TSLPR,307
5782,CT60,188
5783,MRP-L32,0
5784,C6ORF12,0
5785, TUBB5,36
5786,NECC1,7
5787,DUS4,1
5788,CAT2,652
5789,MGC3180,0
5790, RTS,9044
5791,CMT1,439
5792,TYRRS,217
5793, CGI-112,0
5794, YBAKD1,0
5795, CYP2D,428
5796,PKBG,0
5797, PMF,6950
5798, GOLGA2L1,0
5799, TAS2R44,1
5800, GLIF,55
5801,HPXEL,0
5802,DIM1,127
5803,LOC284889,2
5804, CNRN5,0
5805, NCRNA00202,0
5806,HCR,2655
5807, XT-I,64
5808,1C7,425
5809, MIC1,394
5810,CT134,4
5811, FAM4A1,2
5812,ATR,19324
5813,HL1,2347
5814,APL1,104
5815,OSX,1334
5816,MRP6,170
5817,OR4L2P,0
5818, BCMS1,1
5819,FAM90A17P,0
5820,BDP,2115
5821,CDR,9448
5822,SULT1C1P,0
5823,PI,211906
5824,RP66,9
5825,FBL4,1
5826,NBC2,14
5827, MCD,6600
5828,TCRBV3S1,11
5829, KNSL7,0
5830, DJ676J13.1,0
5831, SGLT6,8
5832,HSA-MIR-4286,15
5833,C14ORF161,0
5834,HLA-CDA12,0
5835, G9A,1881
5836, TCRBV30S1,0
5837,CLM,2331
5838,D2,82087
5839,GLYT2,369
5840, Z32,188
5841,CELIAC1,3
5842,DKFZP434P162,0
5843, KIR3DL7,1
5844,EEF1AL,0
5845,p8MTCP1,8
5846, SDR19C1,2
5847, LOH1CR12,1
5848,TTG1,201
5849, HCGIX-5,0
5850, CD116,60
5851, FLJ31087,0
5852, NHC,19488
5853,PCDH-BETA4,0
5854,RWDD4A,0
5855, U48,3244
5856, VMA10,15
5857, D6S203,0
5858,TMS,17241
5859,AFT,2254
5860, MCH2,80
5861, PUM,1165
5862, p44,4028
5863,A20,5666
5864,ROX,1185
5865,OR7E102,0
5866,GLUR3,423
5867,RNS4,5
5868, NOP10P,11
5869, TRBJ15,4
5870,caM,66702
5871,SUR2,356
5872,RN5S2,0
5873,RN5S12,0
5874,MIP2A,11
5875,BDH,819
5876,ABP,10177
5877,CDK11-p110,20
5878, H1,110344
5879, PCDH-ALPHA6,0
5880,FBG4,2
5881, NOL1R2,1
5882,MGC3195,0
5883,B2,61629
5884,HSA-MIR-4289,1
5885,D15F37S3,0
5886,C14ORF109,0
5887, T54,166
5888,OR11-392,0
5889,IRAP,815
5890,PSBG-11,0
5891, RAD17SP,2
5892, PXE,827
5893,SLITL2,2
5894,GL,80584
5895,PEPP2,8
5896, NKAT4A,0
5897,PHKD,6
5898,DIF,5048
5899, SNX28,0
5900,NCRNA00134,0
5901,GPCR,15734
5902,HSA-MIR-4659B,0
5903, DEDAF,13
5904, CRBP3,4
5905,HPC2,139
5906,p63,6535
5907,MRK,676
5908, CD16B,108
5909, PRED71,0
5910,HP-1,764
5911,MGC35402,0
5912, TIN1,15
5913,GLM1,20
5914, KNO1,7
5915,P8,7811
5916,S100A15,41
5917, RPT5,66
5918,CIA,6573
5919,OCA8,4
5920,TUBA8P2,0
5921,DXP4,6
5922,ASPS,1714
5923, ILT7,31
5924, NO3,22202
5925, HLA-DP2B,0
5926,STV1,34
5927,SMA4,44
5928,CPT1,1679
5929,CDG2T,0
5930,FACE,434158
5931, MUM1,2539
5932, PCDH-PSI4,0
5933,MADM,311
5934,ARTS,304959
5935, TRAG3,21
5936, CES4C1,0
5937, OR2I4P,0
5938,beta-1,63081
5939, SKRP4,0
5940,LINC01057,2
5941,GTF2IRD2A,0
5942,p20,56491
5943, HGF,12770
5944, MYST4,33
5945, VMA2,35
5946, LGALS7A,0
5947,TP53TG3E,0
5948,NKH,458
5949,RAH1,9
5950,KIAA0495,44
5951,35DAG,9
5952,ASCIZ,24
5953,PPL8,2
5954,JPSI2,0
5955,FMD,10228
5956,FSP2,18
5957, HZFW1,0
5958,CRARF,2
5959, TCRBV28S1P,0
5960,FLJ12221,0
5961, T1,163227
5962,P37,871
5963,D6S221E,0
5964, PRO2325,0
5965, WBSCR20B,2
5966, HLAK,7
5967, RPS17P,0
5968, HLA-DVB,0
5969,PAR1,3533
5970,iPLA1A,0
5971, G6E,11
5972,SCYA15,1
5973, U6,3511
5974,URP,400
5975,DDAHII,16
5976,CRR9,17
5977,TEL2,87
5978,CT12.1,0
5979,TCONS_00011283,266
5980,BA548K23.1,0
5981, HEIR-1,4
5982,NFAT3,147
5983,CXORF42,0
5984, LINC02804,0
5985, PARP5A,23
5986, P120,2091
5987,DKFZP586B0217,0
5988, DKFZP564B116,0
5989, M-ABC1,2
5990,BBS16,5
5991,ARVD2,16
5992,PEP5,108
5993,NAPRT1,24
5994, SW2,228
5995,AC1,1309
5996,C9ORF29,0
5997,ADA1,215
5998, LIP1,262
5999,UNQ2430,0
6000,TR2,684
6001, TRAP95,1
6002,KRTAP2.1A,0
6003,BING3,2
6004,AIB1,411
6005, DEFB3,26
6006,TBC1D3D,1
6007, MGC45269,0
6008,RECQL2,11
6009,OTTHUMG00000024147,0
6010,TNX,259
6011,RAET1H,3
6012, NAGCT1,0
6013, TAF2C1,0
6014, TAU-PHF6,1
6015, CRHR,187
6016,RN5S254,0
6017, GTC90,3
6018,OI4,8
6019, RMA1,30
6020, STRA13,91
6021, GAGE2,6
6022, LKAP,1
6023,DTR,1501
6024, SHIP1,560
6025, B7-H5,41
6026, SEPT7L,1
6027, FLJ12443,1
6028,C10ORF82,2
6029,C6ORF21,0
6030,LRF,1173
6031,FAM90A9P,0
6032,SMILE,11868
6033, ILP-2,19
6034,CBF-A,192
6035, FAM139A,0
6036, M-LPH1,1
6037,P97,1861
6038,ARG,48002
6039, NOP1,129
6040, GPR158L1,0
6041, FCGR2,28
6042,A2MP,4
6043,E4TF1B,1
6044,PIR-B,103
6045,AAP1,88
6046, KGA,499
6047,170A,244
6048,OR9G5,0
6049,HH1,354
6050, PRED81,0
6051,WEX2,0
6052,FBX42,0
6053, RAD24,219
6054,RHC,2252
6055, TRBV22,0
6056, MIP-1-ALPHA,785
6057,PEN,17544
6058, HSD17B7,101
6059,POP2,227
6060,HCC-2,295
6061, CSL,12058
6062,NSCL2,22
6063,SRS,19415
6064,ROK1,32
6065, SREC,123
6066,CD158B2,0
6067,HSA-MIR-4735,0
6068,HST,2824
6069,CRYPTIC,22728
6070,LCA,10648
6071, GLUDP2,4
6072, MSH,12123
6073,EP400NL,3
6074, C6ORF207,0
6075,GLUC,1599
6076,C6ORF17,0
6077, CNRN8,0
6078,AST,36159
6079, INOS,32517
6080,cPLA2,2220
6081,COII,7150
6082, BA421M1.1,0
6083,TCRBV18S1,0
6084, P35,4125
6085,BAT2,120
6086, MIRN1201,0
6087, NG32,7
6088,MRX99,0
6089,ECK,3334
6090, TRF,3589
6091, MGC14376,2
6092,EM:AB023049.8,600323
6093, PRG-2,21
6094,GLUT4,8206
6095,P29,872
6096,H2AC11,1
6097,HSD11,16
6098, PDB3,12
6099, PSGGA,1
6100, FJ646B12.2,0
6101,PC2,3052
6102, P6,12487
6103, PCDHB8A,0
6104,ALTE,2331
6105, TNF-ALPHA,269975
6106, TCRBV8S5P,0
6107,HS271M21,0
6108,CLAC,140
6109, SMAM1,26
6110, OR14-60,0
6111,C8ORF9,0
6112,OBP,1299
6113,TRA1,329
6114,CECR8,1
6115, IP90,22
6116,ACA10,19
6117, FLJ10883,0
6118,LNCFOXO1,2
6119,FLJ34221,0
6120, MU-PCDH,0
6121, SDR46C1,0
6122, OK/SW-CL.56,36921
6123,RP2,1005
6124,NCRNA00286B,0
6125,TPX1,94
6126, ZO-1,8628
6127, DJ25J6.7,0
6128,HS6M1-24,0
6129,CED-12,57
6130,C8ORF31,2
6131,CT45A4,0
6132,C6ORF18,1
6133, MAGE12,10
6134, KIAA1922,0
6135, LINC01468,5
6136,HLA-DP2A,0
6137, SURF5,10
6138,FMLP-R-II,0
6139, GCNT6,0
6140, SRP40,103
6141,ASNSL1,0
6142,EBS1,50
6143,TCRBV12S3,0
6144,C6ORF19,0
6145,PSA,46245
6146,OR5T3Q,0
6147,FLJ36131,0
6148,FLJ16231,0
6149, FLJ14400,0
6150, ZNF899,0
6151, ERIS,654
6152,FPS,9358
6153,FLJ43860,1
6154,IGLV(I)-42,0
6155, EM:AB023056.16,600323
6156, GAPIII,10
6157, RSG1,40
6158,TD-60,25
6159, MUC-2,368
6160, p35,4125
6161,BS,431736
6162,PAPPAS,5629
6163,HKLP2,10
6164, MIRN105-2,0
6165,L-UBC,6
6166,CN1,1360
6167, HD-5,497
6168,TCRAV27S1,0
6169, P64CLCP,1
6170,CMT2,514
6171,HMS,12029
6172,CT19,47
6173, KIAA0477,0
6174, NUT,17097
6175,FLJ12738,0
6176, CRN,2170
6177,STRAP,3827
6178,HSA-MIR-4660,0
6179, HCC-1,245
6180, FLJ45202,0
6181, TEP1,346
6182,NET4,265
6183, MIR6089-1,0
6184,MAP-1,459
6185, GM88,3
6186, LOC51149,0
6187,PCDH-BETA7,0
6188,CAM2,117
6189,CFHL3,3
6190,KAP2.3,1
6191,DEFB-4,1
6192, PP17,29
6193, TCRBV8S3,2
6194, EYCL3,2
6195,NET,362421
6196, FLJ90508,0
6197, PR-3,2614
6198,DUX10,2
6199, CDK11-P46,7
6200,CD85L,0
6201, D6S217E,0
6202,EAP1,91
6203,CAL2,98
6204, NY-BR-62,3
6205,DKFZP434K058,0
6206,MED,4908080
6207,IGHV(II)-33-1,1
6208,OR912-46,0
6209,BTBD26,0
6210,GLUDP1,4
6211,C14ORF90,0
6212,GL014,1
6213, DDR1-AS1,0
6214,H3C12,2
6215,ASMTY,1
6216, CL-6,1164
6217, MCAF,239
6218,H7365,1
6219, FLJ36576,0
6220,STM,13349
6221, ZNF271,3
6222,EDH17B2,13
6223,HLA-HA2,0
6224,LYST2,0
6225,COG5373,0
6226,eIF-4C,185
6227,P450DB1,17
6228, REC8P,13
6229, CT45-4,0
6230, KAB,749
6231,MTS1,528
6232, ZNF167,0
6233,HBP,4424
6234, CL-43,71
6235,MCCB,552
6236, SH3PXD5,0
6237,RNU6-1295P,0
6238,TM,715746
6239,TCRBC2,3
6240, FLJ40081,0
6241, N27C7-3,0
6242,CK23,3
6243,BWR1A,4
6244, HXBL,0
6245, FLJ11477,0
6246,UTR,30828
6247,CFM2,24
6248,ARP8,42
6249,PCH3,84
6250,EBN1,75
6251, HKE5,1
6252,TCRBV29S1,0
6253, TCRBV8S2A1T,0
6254,PAP,32348
6255,HA2,1131
6256, B3GNT1,18
6257, MRP-L15,0
6258,p26,1153
6259, KCNA11,0
6260, FOP,2574
6261,CSHMT,45
6262,G13,1893
6263,DORA,2059
6264, TTTY17,1
6265,FLJ13659,0
6266,EP2,2611
6267,HSA-MIR-1268B,2
6268,HTAFII68,10
6269,CRACM1,42
6270, SDR25C2,0
6271, Tryx5,1
6272, LQT1,546
6273,TRK,3895
6274,C53,441
6275,SUGT1L1,0
6276,PIT1,1472
6277,eIF-4D,728
6278,CRAM,1359
6279,C10ORF26,6
6280,OLF3,0
6281, C10ORF135,0
6282, G5B,14
6283, RFVT2,25
6284,B1,75844
6285,BAF47,123
6286, RPD3,557
6287,IGKV2/OR2-1,0
6288,CTF5,4
6289,HP1,2303
6290,p43,982
6291, MGC33547,0
6292,ESP,108740
6293, T-SP1,6
6294, MGC1167,0
6295,NOS,41354
6296, TRA1,329
6297, TCRBV29S1P,0
6298,CLPSMCR,0
6299, PFIC-2,42
6300,PTH1,321
6301, KAT4,46
6302,BAT1,156
6303,PXMP1,7
6304, TRBJ11,2
6305, TMEM173,177
6306, KV7.2,314
6307,OTF3,64
6308, SUH,20862
6309,BM600,14
6310, CYP21P,78
6311, P75,6762
6312,PPP5D1,0
6313,EDG1,215
6314,CTHM,4
6315,MAPK8IPP,0
6316,NKR,785
6317,ABC16,23
6318,OR17-24,1
6319, CILD15,0
6320, BTN,372
6321, SNF2,1501
6322,PPY2,32
6323,PCDH-PSI3,0
6324,CKMT,17
6325,ACLS,1402
6326,LPD,3340
6327, WSX-1,137
6328, HUM70T,2
6329,ASC,15492
6330,RAB7,1998
6331,CD85,37
6332,GSE,3600
6333,FLJ20309,0
6334, GOLGA6L8,0
6335,H2B/g,619
6336, CL-42,37
6337,CASPR2,608
6338,C41-CAD,1
6339,RN5S18,0
6340,L19,409
6341, GS1,796
6342,CSE,8224
6343,SPO,6117
6344,RNA28S5,0
6345, PAN5,10
6346,FHM3,37
6347, TCRBV7S3,1
6348,LAG-1,742
6349, TRBV231,0
6350, API,15286
6351,BWCR,0
6352,LACS2,43
6353, HBP-3,20
6354,MDS,26753
6355,LRRC37,7
6356,COAS2,6
6357,FLJ12541,0
6358, FLJ10616,0
6359,MYM,229
6360, EVDB,42
6361,CDY,118
6362,MRX2,15
6363,C21ORF55,1
6364,FLJ37327,0
6365, SH3P19,0
6366, HNF1BETA,522
6367,TRAP-1,166
6368,C9ORF121,0
6369,CATSPER2B,0
6370, BEY1,1
6371,HA-4,181
6372, FAM7A1,0
6373,COD4,8
6374,FIRE,45878
6375,DKFZP434M0331,0
6376,STIP-1,9
6377,TGIF,259
6378,GRIP1,494
6379, PCL1,104
6380,NAKED2,13
6381, HSPC264,0
6382,MLP1,105
6383,GNPI,37
6384,pH2A/f,1
6385,CD85I,0
6386,RN5S380,0
6387, OSX,1334
6388,HTID-1,18
6389,p17,2997
6390, TCRBV7S1,0
6391,APG1,54
6392,ZAC,684
6393, K20,1129
6394,RAI,21690
6395, KCC4,112
6396,HOP,34776
