HGNC ID	Alias symbol	NCBI gene ID	Ensembl gene ID	Approved symbol
HGNC:23612	OATP4C1	353189	ENSG00000173930	SLCO4C1
HGNC:23612	OATPX	353189	ENSG00000173930	SLCO4C1
HGNC:23612	OATP-H	353189	ENSG00000173930	SLCO4C1
HGNC:19046	OATPRP4	81796	ENSG00000137571	SLCO5A1
HGNC:19046	OATP-J	81796	ENSG00000137571	SLCO5A1
HGNC:19046	OATP5A1	81796	ENSG00000137571	SLCO5A1
HGNC:55595		121233925	ENSG00000246528	SLCO5A1-AS1
HGNC:23613	OATP6A1	133482	ENSG00000205359	SLCO6A1
HGNC:23613	OATPY	133482	ENSG00000205359	SLCO6A1
HGNC:23613	MGC26949	133482	ENSG00000205359	SLCO6A1
HGNC:23613	CT48	133482	ENSG00000205359	SLCO6A1
HGNC:54824	FLJ42969	441374	ENSG00000248599	SLEAR
HGNC:14535				SLEB3
HGNC:17420				SLEH1
HGNC:18542				SLEN1
HGNC:18543				SLEN2
HGNC:18544				SLEN3
HGNC:25408	DKFZp761C121	84250	ENSG00000133302	SLF1
HGNC:25408	DKFZp564C0469	84250	ENSG00000133302	SLF1
HGNC:25408	BRCTx	84250	ENSG00000133302	SLF1
HGNC:17814	FLJ10512	55719	ENSG00000119906	SLF2
HGNC:17814	FLJ25012	55719	ENSG00000119906	SLF2
HGNC:28286	MGC19764	162394	ENSG00000166750	SLFN5
HGNC:26633	FLJ34922	91607	ENSG00000172716	SLFN11
HGNC:25500	FLJ10260	55106	ENSG00000172123	SLFN12
HGNC:33920		100506736	ENSG00000205045	SLFN12L
HGNC:26481	FLJ31952	146857	ENSG00000154760	SLFN13
HGNC:32689		342618	ENSG00000236320	SLFN14
HGNC:26313	FLJ23878	200172	ENSG00000171790	SLFNL1
HGNC:44126		100507178	ENSG00000281207	SLFNL1-AS1
HGNC:20495	DC50	81892	ENSG00000119705	SLIRP
HGNC:55149		100287757	ENSG00000227505	SLIRPP1
HGNC:55150		100913179	ENSG00000249277	SLIRPP2
HGNC:11085	MEGF4	6585	ENSG00000187122	SLIT1
HGNC:11085	Slit-1	6585	ENSG00000187122	SLIT1
HGNC:11085	SLIT3	6585	ENSG00000187122	SLIT1
HGNC:51198		100505540	ENSG00000234855	SLIT1-AS1
HGNC:11086	Slit-2	9353	ENSG00000145147	SLIT2
HGNC:41383		100505893	ENSG00000248228	SLIT2-IT1
HGNC:11087	slit2	6586	ENSG00000184347	SLIT3
HGNC:11087	MEGF5	6586	ENSG00000184347	SLIT3
HGNC:11087	SLIT1	6586	ENSG00000184347	SLIT3
HGNC:11087	Slit-3	6586	ENSG00000184347	SLIT3
HGNC:40553		728095	ENSG00000248222	SLIT3-AS1
HGNC:40551		101927969	ENSG00000254042	SLIT3-AS2
HGNC:20297	KIAA1910	114798	ENSG00000178235	SLITRK1
HGNC:13449	KIAA1854	84631	ENSG00000185985	SLITRK2
HGNC:13449	CXorf2	84631	ENSG00000185985	SLITRK2
HGNC:23501	KIAA0848	22865	ENSG00000121871	SLITRK3
HGNC:23502	DKFZp547M2010	139065	ENSG00000179542	SLITRK4
HGNC:20295	bA364G4.2	26050	ENSG00000165300	SLITRK5
HGNC:20295	KIAA0918	26050	ENSG00000165300	SLITRK5
HGNC:23503	FLJ22774	84189	ENSG00000184564	SLITRK6
HGNC:11088	STK2	9748	ENSG00000065613	SLK
HGNC:11088	se20-9	9748	ENSG00000065613	SLK
HGNC:11088	KIAA0204	9748	ENSG00000065613	SLK
HGNC:16643	SLAP	7871	ENSG00000163681	SLMAP
